type,id,well,stand.conc,abs.650,plate
SPL,CC1_C_5,E8,,0.696,1
SPL,CC1_C_5,F8,,0.707,1
SPL,CC1_NO3_1,E9,,0.498,1
SPL,CC1_NO3_1,F9,,0.495,1
SPL,CC1_NO3_2,E10,,0.769,1
SPL,CC1_NO3_2,F10,,0.793,1
SPL,CC1_NO3_3,E11,,0.659,1
SPL,CC1_NO3_3,F11,,0.684,1
SPL,CC1_NO3_4,E12,,0.91,1
SPL,CC1_NO3_4,F12,,0.955,1
SPL,CC1_S_1,G4,,0.968,1
SPL,CC1_S_1,G5,,0.986,1
SPL,CC1_S_2,G6,,1.719,1
SPL,CC1_S_2,G7,,1.641,1
SPL,CC1_S_3,G8,,0.723,1
SPL,CC1_S_3,G9,,0.738,1
SPL,CC1_S_4,G10,,1.977,1
SPL,CC1_S_4,G11,,1.955,1
SPL,CC1_S_5,G12,,0.852,1
SPL,CC1_S_5,H12,,0.85,1
STD,ref.curve,A1,0,0.474,1
STD,ref.curve,A2,0,0.441,1
STD,ref.curve,A3,0,0.435,1
STD,ref.curve,B1,0.5,0.57,1
STD,ref.curve,B2,0.5,0.545,1
STD,ref.curve,B3,0.5,0.527,1
STD,ref.curve,C1,1,0.682,1
STD,ref.curve,C2,1,0.644,1
STD,ref.curve,C3,1,0.648,1
STD,ref.curve,D1,2.5,0.981,1
STD,ref.curve,D2,2.5,0.988,1
STD,ref.curve,D3,2.5,0.947,1
STD,ref.curve,E1,5,1.46,1
STD,ref.curve,E2,5,1.5,1
STD,ref.curve,E3,5,1.47,1
STD,ref.curve,F1,10,2.412,1
STD,ref.curve,F2,10,2.578,1
STD,ref.curve,F3,10,2.424,1
STD,ref.curve,G1,15,3.303,1
STD,ref.curve,G2,15,3.273,1
STD,ref.curve,G3,15,3.232,1
BLK,blank,H9,,0.384,2
BLK,blank,H10,,0.378,2
BLK,blank,H11,,0.376,2
POS,positive.control,H1,0.5,0.623,2
POS,positive.control,H2,0.5,0.484,2
POS,positive.control,H3,1,0.6,2
POS,positive.control,H4,1,0.586,2
POS,positive.control,H5,5,1.441,2
POS,positive.control,H6,5,1.495,2
