type,id,well,stand.conc,abs.650,abs.540,plate,analysis.type
BLK,blank,H9,,0.437,NA,1,nh4
BLK,blank,H10,,4,NA,1,nh4
BLK,blank,H11,,0.405,NA,1,nh4
POS,positive.control,H1,0.5,0.561,NA,1,nh4
POS,positive.control,H2,0.5,0.494,NA,1,nh4
POS,positive.control,H3,1,0.606,NA,1,nh4
POS,positive.control,H4,1,0.6,NA,1,nh4
POS,positive.control,H5,5,1.478,NA,1,nh4
POS,positive.control,H6,5,1.35,NA,1,nh4
POS,positive.control,H7,10,2.444,NA,1,nh4
POS,positive.control,H8,10,2.512,NA,1,nh4
SPL,BH1_C_1,A4,,3.078,NA,1,nh4
SPL,BH1_C_1,B4,,3.08,NA,1,nh4
SPL,BH1_C_2,A5,,0.767,NA,1,nh4
SPL,BH1_C_2,B5,,0.768,NA,1,nh4
SPL,BH1_C_3,A6,,2.323,NA,1,nh4
SPL,BH1_C_3,B6,,2.338,NA,1,nh4
SPL,BH1_C_4,A7,,1.885,NA,1,nh4
SPL,BH1_C_4,B7,,1.859,NA,1,nh4
SPL,BH1_NO3_1,A8,,1.218,NA,1,nh4
SPL,BH1_NO3_1,B8,,1.269,NA,1,nh4
SPL,BH1_NO3_2,A9,,1.556,NA,1,nh4
SPL,BH1_NO3_2,B9,,1.509,NA,1,nh4
SPL,BH1_NO3_3,A10,,2.04,NA,1,nh4
SPL,BH1_NO3_3,B10,,2.065,NA,1,nh4
SPL,BH1_NO3_4,A11,,0.698,NA,1,nh4
SPL,BH1_NO3_4,B11,,0.697,NA,1,nh4
SPL,BH1_NO3_5,A12,,2.95,NA,1,nh4
SPL,BH1_NO3_5,B12,,2.97,NA,1,nh4
SPL,BH1_S_2,C4,,1.504,NA,1,nh4
SPL,BH1_S_2,D4,,1.487,NA,1,nh4
SPL,BH1_S_3,C5,,0.956,NA,1,nh4
SPL,BH1_S_3,D5,,1.004,NA,1,nh4
SPL,BH1_S_4,C6,,0.996,NA,1,nh4
SPL,BH1_S_4,D6,,0.995,NA,1,nh4
SPL,BH1_S_5,C7,,2.355,NA,1,nh4
SPL,BH1_S_5,D7,,2.291,NA,1,nh4
SPL,BH1_AS_1,C8,,1.449,NA,1,nh4
SPL,BH1_AS_1,D8,,1.498,NA,1,nh4
SPL,BH1_AS_2,C9,,1.677,NA,1,nh4
SPL,BH1_AS_2,D9,,1.725,NA,1,nh4
SPL,BH1_AS_3,C10,,2.957,NA,1,nh4
SPL,BH1_AS_3,D10,,3.026,NA,1,nh4
SPL,BH1_AS_4,C11,,1.226,NA,1,nh4
SPL,BH1_AS_4,D11,,1.21,NA,1,nh4
SPL,BH1_AS_5,C12,,1.916,NA,1,nh4
SPL,BH1_AS_5,D12,,1.897,NA,1,nh4
SPL,CC1_C_1,E4,,0.832,NA,1,nh4
SPL,CC1_C_1,F4,,0.831,NA,1,nh4
SPL,CC1_C_2,E5,,0.736,NA,1,nh4
